原始数据+原始评估
Start training...
Epoch: [5][1200/6349]   Loss 0.1897 (0.1500)    Accuracy 0.703 (0.726)
Epoch: [5][1400/6349]   Loss 0.1307 (0.1497)    Accuracy 0.750 (0.726)
Epoch: [5][1600/6349]   Loss 0.2154 (0.1499)    Accuracy 0.578 (0.726)
Epoch: [5][1800/6349]   Loss 0.1227 (0.1500)    Accuracy 0.734 (0.726)
Epoch: [5][2000/6349]   Loss 0.1927 (0.1501)    Accuracy 0.797 (0.726)
Epoch: [5][2200/6349]   Loss 0.0916 (0.1500)    Accuracy 0.781 (0.726)
Epoch: [5][2400/6349]   Loss 0.2107 (0.1503)    Accuracy 0.656 (0.726)
Epoch: [5][2600/6349]   Loss 0.1226 (0.1505)    Accuracy 0.766 (0.726)
Epoch: [5][2800/6349]   Loss 0.1124 (0.1502)    Accuracy 0.781 (0.727)
Epoch: [5][3000/6349]   Loss 0.1594 (0.1504)    Accuracy 0.734 (0.727)
Epoch: [5][3200/6349]   Loss 0.2184 (0.1508)    Accuracy 0.625 (0.727)
Epoch: [5][3400/6349]   Loss 0.1305 (0.1510)    Accuracy 0.656 (0.727)
Epoch: [5][3600/6349]   Loss 0.1118 (0.1513)    Accuracy 0.719 (0.726)
Epoch: [5][3800/6349]   Loss 0.1810 (0.1515)    Accuracy 0.672 (0.726)
Epoch: [5][4000/6349]   Loss 0.1592 (0.1515)    Accuracy 0.734 (0.726)
Epoch: [5][4200/6349]   Loss 0.1335 (0.1515)    Accuracy 0.750 (0.726)
Epoch: [5][4400/6349]   Loss 0.1567 (0.1517)    Accuracy 0.750 (0.726)
Epoch: [5][4600/6349]   Loss 0.1141 (0.1520)    Accuracy 0.766 (0.726)
Epoch: [5][4800/6349]   Loss 0.1953 (0.1526)    Accuracy 0.625 (0.726)
Epoch: [5][5000/6349]   Loss 0.1398 (0.1527)    Accuracy 0.688 (0.726)
Epoch: [5][5200/6349]   Loss 0.1600 (0.1529)    Accuracy 0.734 (0.726)
Epoch: [5][5400/6349]   Loss 0.1467 (0.1532)    Accuracy 0.703 (0.725)
Epoch: [5][5600/6349]   Loss 0.0578 (0.1533)    Accuracy 0.812 (0.725)
Epoch: [5][5800/6349]   Loss 0.1019 (0.1534)    Accuracy 0.797 (0.725)
Epoch: [5][6000/6349]   Loss 0.1300 (0.1536)    Accuracy 0.719 (0.725)
Epoch: [5][6200/6349]   Loss 0.1703 (0.1538)    Accuracy 0.672 (0.725)
Evaluating: 100%|█████████████████████████████████████████████████████████████████████| 794/794 [00:17<00:00, 45.18it/s]

 *Evaluation Loss: 0.2676        Accuracy: 0.690

Epoch: [6][0/6349]      Loss 0.2034 (0.2034)    Accuracy 0.719 (0.719)
Epoch: [6][200/6349]    Loss 0.1189 (0.1283)    Accuracy 0.797 (0.741)
Epoch: [6][400/6349]    Loss 0.0874 (0.1297)    Accuracy 0.812 (0.742)
Epoch: [6][600/6349]    Loss 0.1085 (0.1294)    Accuracy 0.812 (0.743)
Epoch: [6][800/6349]    Loss 0.1309 (0.1302)    Accuracy 0.766 (0.742)
Epoch: [6][1000/6349]   Loss 0.1247 (0.1306)    Accuracy 0.766 (0.742)
Epoch: [6][1200/6349]   Loss 0.1352 (0.1305)    Accuracy 0.734 (0.741)
Epoch: [6][1400/6349]   Loss 0.1187 (0.1303)    Accuracy 0.703 (0.741)
Epoch: [6][1600/6349]   Loss 0.1422 (0.1308)    Accuracy 0.703 (0.741)
Epoch: [6][1800/6349]   Loss 0.0956 (0.1316)    Accuracy 0.766 (0.740)
Epoch: [6][2000/6349]   Loss 0.2022 (0.1323)    Accuracy 0.719 (0.740)
Epoch: [6][2200/6349]   Loss 0.1771 (0.1328)    Accuracy 0.734 (0.740)
Epoch: [6][2400/6349]   Loss 0.1122 (0.1328)    Accuracy 0.766 (0.740)
Epoch: [6][2600/6349]   Loss 0.1762 (0.1332)    Accuracy 0.609 (0.739)
Epoch: [6][2800/6349]   Loss 0.1320 (0.1335)    Accuracy 0.734 (0.739)
Epoch: [6][3000/6349]   Loss 0.0850 (0.1338)    Accuracy 0.703 (0.739)
Epoch: [6][3200/6349]   Loss 0.1182 (0.1339)    Accuracy 0.672 (0.738)
Epoch: [6][3400/6349]   Loss 0.1450 (0.1343)    Accuracy 0.688 (0.738)
Epoch: [6][3600/6349]   Loss 0.1234 (0.1344)    Accuracy 0.812 (0.738)
Epoch: [6][3800/6349]   Loss 0.2433 (0.1347)    Accuracy 0.781 (0.738)
Epoch: [6][4000/6349]   Loss 0.0634 (0.1345)    Accuracy 0.859 (0.738)
Epoch: [6][4200/6349]   Loss 0.1627 (0.1347)    Accuracy 0.656 (0.738)
Epoch: [6][4400/6349]   Loss 0.0887 (0.1349)    Accuracy 0.812 (0.738)
Epoch: [6][4600/6349]   Loss 0.1114 (0.1350)    Accuracy 0.750 (0.738)
Epoch: [6][4800/6349]   Loss 0.1383 (0.1353)    Accuracy 0.672 (0.738)
Epoch: [6][5000/6349]   Loss 0.1339 (0.1357)    Accuracy 0.781 (0.738)
Epoch: [6][5200/6349]   Loss 0.1950 (0.1361)    Accuracy 0.656 (0.738)
Epoch: [6][5400/6349]   Loss 0.0760 (0.1364)    Accuracy 0.797 (0.738)
Epoch: [6][5600/6349]   Loss 0.1092 (0.1364)    Accuracy 0.734 (0.738)
Epoch: [6][5800/6349]   Loss 0.1543 (0.1365)    Accuracy 0.672 (0.738)
Epoch: [6][6000/6349]   Loss 0.1814 (0.1368)    Accuracy 0.609 (0.738)
Epoch: [6][6200/6349]   Loss 0.0800 (0.1370)    Accuracy 0.797 (0.737)
Evaluating: 100%|█████████████████████████████████████████████████████████████████████| 794/794 [00:16<00:00, 47.97it/s]

 *Evaluation Loss: 0.2584        Accuracy: 0.706

Epoch: [7][0/6349]      Loss 0.1682 (0.1682)    Accuracy 0.734 (0.734)
Epoch: [7][200/6349]    Loss 0.0728 (0.1201)    Accuracy 0.703 (0.751)
Epoch: [7][400/6349]    Loss 0.0923 (0.1178)    Accuracy 0.812 (0.752)
Epoch: [7][600/6349]    Loss 0.1235 (0.1166)    Accuracy 0.781 (0.753)
Epoch: [7][800/6349]    Loss 0.1587 (0.1176)    Accuracy 0.766 (0.753)
Epoch: [7][1000/6349]   Loss 0.1077 (0.1171)    Accuracy 0.734 (0.754)
Epoch: [7][1200/6349]   Loss 0.1389 (0.1182)    Accuracy 0.719 (0.752)
Epoch: [7][1400/6349]   Loss 0.1139 (0.1183)    Accuracy 0.766 (0.753)
Epoch: [7][1600/6349]   Loss 0.1593 (0.1181)    Accuracy 0.656 (0.753)
Epoch: [7][1800/6349]   Loss 0.1125 (0.1182)    Accuracy 0.750 (0.753)
Epoch: [7][2000/6349]   Loss 0.1226 (0.1185)    Accuracy 0.812 (0.753)
Epoch: [7][2200/6349]   Loss 0.0723 (0.1184)    Accuracy 0.750 (0.754)
Epoch: [7][2400/6349]   Loss 0.1292 (0.1186)    Accuracy 0.797 (0.753)
Epoch: [7][2600/6349]   Loss 0.0866 (0.1191)    Accuracy 0.781 (0.753)
Epoch: [7][2800/6349]   Loss 0.1196 (0.1195)    Accuracy 0.719 (0.753)
Epoch: [7][3000/6349]   Loss 0.1329 (0.1201)    Accuracy 0.766 (0.752)
Epoch: [7][3200/6349]   Loss 0.1765 (0.1205)    Accuracy 0.688 (0.752)
Epoch: [7][3400/6349]   Loss 0.1152 (0.1209)    Accuracy 0.781 (0.752)
Epoch: [7][3600/6349]   Loss 0.1272 (0.1210)    Accuracy 0.719 (0.751)
Epoch: [7][3800/6349]   Loss 0.1197 (0.1212)    Accuracy 0.734 (0.751)
Epoch: [7][4000/6349]   Loss 0.1206 (0.1212)    Accuracy 0.750 (0.751)
Epoch: [7][4200/6349]   Loss 0.1272 (0.1215)    Accuracy 0.766 (0.751)
Epoch: [7][4400/6349]   Loss 0.1168 (0.1216)    Accuracy 0.703 (0.751)
